Bundesland; Altergruppe; Anzahl
Schleswig-Holstein; unter 3 Jahre; 66196
Hamburg; unter 3 Jahre; 47757
Niedersachsen; unter 3 Jahre; 185735
Bremen; unter 3 Jahre; 15639
Nordrhein-Westfalen; unter 3 Jahre; 427611
Hessen; unter 3 Jahre; 151655
Rheinland-Pfalz; unter 3 Jahre; 94158
Baden-Württemberg; unter 3 Jahre; 269228
Bayern; unter 3 Jahre; 311369
Saarland; unter 3 Jahre; 20530
Berlin; unter 3 Jahre; 94867
Brandenburg; unter 3 Jahre; 56941
Mecklenburg-Vorpommern; unter 3 Jahre; 38662
Sachsen; unter 3 Jahre; 101955
Sachsen-Anhalt; unter 3 Jahre; 50776
Thüringen; unter 3 Jahre; 51146
Schleswig-Holstein; 3 bis unter 6 Jahre; 69955
Hamburg; 3 bis unter 6 Jahre; 45575
Niedersachsen; 3 bis unter 6 Jahre; 196711
Bremen; 3 bis unter 6 Jahre; 15536
Nordrhein-Westfalen; 3 bis unter 6 Jahre; 444860
Hessen; 3 bis unter 6 Jahre; 155265
Rheinland-Pfalz; 3 bis unter 6 Jahre; 97666
Baden-Württemberg; 3 bis unter 6 Jahre; 279349
Bayern; 3 bis unter 6 Jahre; 319372
Saarland; 3 bis unter 6 Jahre; 21277
Berlin; 3 bis unter 6 Jahre; 86753
Brandenburg; 3 bis unter 6 Jahre; 57519
Mecklenburg-Vorpommern; 3 bis unter 6 Jahre; 37488
Sachsen; 3 bis unter 6 Jahre; 97914
Sachsen-Anhalt; 3 bis unter 6 Jahre; 50157
Thüringen; 3 bis unter 6 Jahre; 49471
Schleswig-Holstein; 6 bis unter 15 Jahre; 251780
Hamburg; 6 bis unter 15 Jahre; 132476
Niedersachsen; 6 bis unter 15 Jahre; 716667
Bremen; 6 bis unter 15 Jahre; 50075
Nordrhein-Westfalen; 6 bis unter 15 Jahre; 1557527
Hessen; 6 bis unter 15 Jahre; 518076
Rheinland-Pfalz; 6 bis unter 15 Jahre; 345175
Baden-Württemberg; 6 bis unter 15 Jahre; 960161
Bayern; 6 bis unter 15 Jahre; 1090148
Saarland; 6 bis unter 15 Jahre; 77352
Berlin; 6 bis unter 15 Jahre; 239171
Brandenburg; 6 bis unter 15 Jahre; 175361
Mecklenburg-Vorpommern; 6 bis unter 15 Jahre; 110261
Sachsen; 6 bis unter 15 Jahre; 274180
Sachsen-Anhalt; 6 bis unter 15 Jahre; 148729
Thüringen; 6 bis unter 15 Jahre; 147422
Schleswig-Holstein; 15 bis unter 18 Jahre; 88914
Hamburg; 15 bis unter 18 Jahre; 42239
Niedersachsen; 15 bis unter 18 Jahre; 256246
Bremen; 15 bis unter 18 Jahre; 17630
Nordrhein-Westfalen; 15 bis unter 18 Jahre; 555141
Hessen; 15 bis unter 18 Jahre; 179927
Rheinland-Pfalz; 15 bis unter 18 Jahre; 127590
Baden-Württemberg; 15 bis unter 18 Jahre; 343950
Bayern; 15 bis unter 18 Jahre; 390415
Saarland; 15 bis unter 18 Jahre; 29899
Berlin; 15 bis unter 18 Jahre; 73592
Brandenburg; 15 bis unter 18 Jahre; 46770
Mecklenburg-Vorpommern; 15 bis unter 18 Jahre; 28790
Sachsen; 15 bis unter 18 Jahre; 68498
Sachsen-Anhalt; 15 bis unter 18 Jahre; 40201
Thüringen; 15 bis unter 18 Jahre; 38948
Schleswig-Holstein; 18 bis unter 25 Jahre; 216995
Hamburg; 18 bis unter 25 Jahre; 138325
Niedersachsen; 18 bis unter 25 Jahre; 626602
Bremen; 18 bis unter 25 Jahre; 58662
Nordrhein-Westfalen; 18 bis unter 25 Jahre; 1446395
Hessen; 18 bis unter 25 Jahre; 475322
Rheinland-Pfalz; 18 bis unter 25 Jahre; 334394
Baden-Württemberg; 18 bis unter 25 Jahre; 901992
Bayern; 18 bis unter 25 Jahre; 1033879
Saarland; 18 bis unter 25 Jahre; 79645
Berlin; 18 bis unter 25 Jahre; 271412
Brandenburg; 18 bis unter 25 Jahre; 173154
Mecklenburg-Vorpommern; 18 bis unter 25 Jahre; 126410
Sachsen; 18 bis unter 25 Jahre; 300899
Sachsen-Anhalt; 18 bis unter 25 Jahre; 170299
Thüringen; 18 bis unter 25 Jahre; 165705
Schleswig-Holstein; 25 bis unter 30 Jahre; 145872
Hamburg; 25 bis unter 30 Jahre; 136313
Niedersachsen; 25 bis unter 30 Jahre; 422659
Bremen; 25 bis unter 30 Jahre; 46667
Nordrhein-Westfalen; 25 bis unter 30 Jahre; 1033985
Hessen; 25 bis unter 30 Jahre; 360154
Rheinland-Pfalz; 25 bis unter 30 Jahre; 227494
Baden-Württemberg; 25 bis unter 30 Jahre; 645226
Bayern; 25 bis unter 30 Jahre; 763312
Saarland; 25 bis unter 30 Jahre; 56250
