GENESIS-Tabelle: 12111-02-01-5-B
Bevölkerung nach Geschlecht/Nationalität;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
und Altersgruppen  - Stichtag 09.05.2011 -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zensus 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung;Bevölkerung
;;Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr);Altersgruppen (unter 3, ..., 75 Jahre und mehr)
;;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;unter 3 Jahre;unter 3 Jahre;unter 3 Jahre;unter 3 Jahre;unter 3 Jahre;3 bis unter 6 Jahre;3 bis unter 6 Jahre;3 bis unter 6 Jahre;3 bis unter 6 Jahre;3 bis unter 6 Jahre;6 bis unter 15 Jahre;6 bis unter 15 Jahre;6 bis unter 15 Jahre;6 bis unter 15 Jahre;6 bis unter 15 Jahre;15 bis unter 18 Jahre;15 bis unter 18 Jahre;15 bis unter 18 Jahre;15 bis unter 18 Jahre;15 bis unter 18 Jahre;18 bis unter 25 Jahre;18 bis unter 25 Jahre;18 bis unter 25 Jahre;18 bis unter 25 Jahre;18 bis unter 25 Jahre;25 bis unter 30 Jahre;25 bis unter 30 Jahre;25 bis unter 30 Jahre;25 bis unter 30 Jahre;25 bis unter 30 Jahre;30 bis unter 40 Jahre;30 bis unter 40 Jahre;30 bis unter 40 Jahre;30 bis unter 40 Jahre;30 bis unter 40 Jahre;40 bis unter 50 Jahre;40 bis unter 50 Jahre;40 bis unter 50 Jahre;40 bis unter 50 Jahre;40 bis unter 50 Jahre;50 bis unter 65 Jahre;50 bis unter 65 Jahre;50 bis unter 65 Jahre;50 bis unter 65 Jahre;50 bis unter 65 Jahre;65 bis unter 75 Jahre;65 bis unter 75 Jahre;65 bis unter 75 Jahre;65 bis unter 75 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;75 Jahre und mehr;75 Jahre und mehr;75 Jahre und mehr;75 Jahre und mehr
;;Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen);Insgesamt;männlich;weiblich;Deutsche;Ausländer(innen)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01;Schleswig-Holstein;2800119;1360484;1439635;2683060;117059;66196;34369;31827;64791;1405;69955;36551;33404;68397;1558;251780;128582;123198;243738;8042;88914;45583;43331;85445;3469;216995;111361;105634;207677;9318;145872;71552;74320;135759;10113;307805;150860;156945;280810;26995;482570;239649;242921;460257;22313;563018;277519;285499;541087;21931;348405;167090;181315;339687;8718;258609;97368;161241;255412;3197
02;Hamburg;1706696;825451;881245;1492489;214207;47757;24592;23165;44999;2758;45575;23535;22040;42704;2871;132476;68410;64066;118574;13902;42239;22247;19992;36060;6179;138325;65318;73007;120642;17683;136313;64069;72244;116092;20221;258238;131132;127106;205704;52534;280671;143686;136985;239773;40898;301189;146514;154675;263403;37786;178471;84092;94379;164622;13849;145442;51856;93586;139916;5526
03;Niedersachsen;7777992;3803776;3974216;7352720;425272;185735;95455;90280;180247;5488;196711;101321;95390;190563;6148;716667;366871;349796;683497;33170;256246;131465;124781;240997;15249;626602;323085;303517;586485;40117;422659;211641;211018;384925;37734;875284;436107;439177;780895;94389;1313304;660603;652701;1233710;79594;1569272;783061;786211;1495051;74221;882074;420637;461437;853578;28496;733438;273530;459908;722772;10666
04;Bremen;650863;316102;334761;578877;71986;15639;8116;7523;14623;1016;15536;8144;7392;14601;935;50075;25928;24147;44521;5554;17630;9005;8625;15065;2565;58662;29119;29543;50983;7679;46667;24073;22594;39056;7611;80713;41530;39183;64401;16312;101680;51381;50299;89402;12278;126445;61356;65089;114947;11498;75264;35429;39835;70488;4776;62552;22021;40531;60790;1762
05;Nordrhein-Westfalen;17538251;8517934;9020318;15932038;1606214;427611;219530;208081;409217;18394;444860;228440;216420;425927;18933;1557527;798541;758986;1436076;121451;555141;284163;270978;497379;57762;1446395;736897;709498;1293078;153317;1033985;515517;518468;892020;141965;2046750;1011856;1034894;1685010;361740;2949487;1487632;1461855;2656984;292503;3523514;1735256;1788258;3245776;277738;1903701;887535;1016166;1783071;120630;1649281;612567;1036714;1607500;41781
