Ort; Ort-Art;Insgesamt;Pkw;Lkw;Zugmaschinen;Kraftraeder
Schleswig-Holstein; Bundesland;2024920;1663285;120468;77293;148020
Hamburg; Bundesland;921354;794618;58821;7797;53264
Niedersachsen; Bundesland;5763976;4747593;299586;253361;423125
Bremen; Bundesland;337171;292514;18482;3437;20267
Nordrhein-Westfalen; Bundesland;11896789;10083891;646508;256642;842577
Hessen; Bundesland;4433686;3703192;219396;149749;333883
Rheinland-Pfalz; Bundesland;3090622;2520846;149831;150507;248845
Baden-Württemberg; Bundesland;8111142;6626660;374479;379439;687913
Bayern; Bundesland;10150608;7973421;489299;676597;944258
Saarland; Bundesland;755593;636176;36130;18574;60348
Berlin; Bundesland;1434141;1210790;100659;6503;105305
Brandenburg; Bundesland;1759920;1423631;139176;51283;130406
Mecklenburg-Vorpommern; Bundesland;1055176;856882;83401;35986;68650
Sachsen; Bundesland;2604833;2148960;194868;64209;176496
Sachsen-Anhalt; Bundesland;1469499;1210884;107437;44608;93303
Thüringen; Bundesland;1466939;1184512;109674;60560;100081
